"","Brew_ID","Name","City","State"
"53",53,"Pipeworks Brewing Company","Chicago"," IL"
"54",54,"Bent Brewstillery","Roseville"," MN"
"55",55,"Flesk Brewing Company","Lombard"," IL"
"56",56,"Pollyanna Brewing Company","Lemont"," IL"
"57",57,"BuckleDown Brewing","Lyons"," IL"
"58",58,"Destihl Brewery","Bloomington"," IL"
"59",59,"Summit Brewing Company","St. Paul"," MN"
"60",60,"Latitude 42 Brewing Company","Portage"," MI"
"61",61,"4 Hands Brewing Company","Saint Louis"," MO"
"62",62,"Surly Brewing Company","Brooklyn Center"," MN"
"63",63,"Against The Grain Brewery","Louisville"," KY"
"64",64,"Crazy Mountain Brewing Company","Edwards"," CO"
"65",65,"SlapShot Brewing Company","Chicago"," IL"
"66",66,"Mikerphone Brewing","Chicago"," IL"
"67",67,"Freetail Brewing Company","San Antonio"," TX"
"68",68,"3 Daughters Brewing","St Petersburg"," FL"
"69",69,"Red Shedman Farm Brewery and Hop...","Mt. Airy"," MD"
"70",70,"Appalachian Mountain Brewery","Boone"," NC"
"71",71,"Birdsong Brewing Company","Charlotte"," NC"
"72",72,"Union Craft Brewing","Baltimore"," MD"
"73",73,"Atwater Brewery","Detroit"," MI"
"74",74,"Ale Asylum","Madison"," WI"
"75",75,"Two Brothers Brewing Company","Warrenville"," IL"
"76",76,"Bent Paddle Brewing Company","Duluth"," MN"
"77",77,"Bell's Brewery","Kalamazoo"," MI"
"78",78,"Blue Owl Brewing","Austin"," TX"
"79",79,"Speakasy Ales & Lagers","San Francisco"," CA"
"80",80,"Black Tooth Brewing Company","Sheridan"," WY"
"81",81,"Hopworks Urban Brewery","Portland"," OR"
"82",82,"Epic Brewing","Denver"," CO"
"83",83,"New Belgium Brewing Company","Fort Collins"," CO"
"84",84,"Sierra Nevada Brewing Company","Chico"," CA"
"85",85,"Keweenaw Brewing Company","Houghton"," MI"
"86",86,"Brewery Terra Firma","Traverse City"," MI"
"87",87,"Grey Sail Brewing Company","Westerly"," RI"
"88",88,"Kirkwood Station Brewing Company","Kirkwood"," MO"
"89",89,"Goose Island Brewing Company","Chicago"," IL"
"90",90,"Broad Brook Brewing LLC","East Windsor"," CT"
"91",91,"The Lion Brewery","Wilkes-Barre"," PA"
"92",92,"Madtree Brewing Company","Cincinnati"," OH"
"93",93,"Jackie O's Pub & Brewery","Athens"," OH"
"94",94,"Rhinegeist Brewery","Cincinnati"," OH"
"95",95,"Warped Wing Brewing Company","Dayton"," OH"
"96",96,"Blackrocks Brewery","Marquette"," MA"
"97",97,"Catawba Valley Brewing Company","Morganton"," NC"
"98",98,"Tröegs Brewing Company","Hershey"," PA"
"99",99,"Mission Brewery","San Diego"," CA"
"100",100,"Christian Moerlein Brewing Company","Cincinnati"," OH"
"101",101,"West Sixth Brewing","Lexington"," KY"
"102",102,"Coastal Extreme Brewing Company","Newport"," RI"
"103",103,"King Street Brewing Company","Anchorage"," AK"
"104",104,"Beer Works Brewery","Lowell"," MA"
"105",105,"Lone Tree Brewing Company","Lone Tree"," CO"
"106",106,"Four String Brewing Company","Columbus"," OH"
"107",107,"Glabrous Brewing Company","Pineland"," ME"
"108",108,"Bonfire Brewing Company","Eagle"," CO"
"109",109,"Thomas Hooker Brewing Company","Bloomfield"," CT"
"110",110,"Woodstock Inn, Station & Brewery","North Woodstock"," NH"
"111",111,"Renegade Brewing Company","Denver"," CO"
"112",112,"Mother Earth Brew Company","Vista"," CA"
"113",113,"Black Market Brewing Company","Temecula"," CA"
"114",114,"Vault Brewing Company","Yardley"," PA"
"115",115,"Jailbreak Brewing Company","Laurel"," MD"
"116",116,"Smartmouth Brewing Company","Norfolk"," VA"
"117",117,"Base Camp Brewing Co.","Portland"," OR"
"118",118,"Alameda Brewing","Portland"," OR"
"119",119,"Southern Star Brewing Company","Conroe"," TX"
"120",120,"Steamworks Brewing Company","Durango"," CO"
"121",121,"Horny Goat Brew Pub","Milwaukee"," WI"
"122",122,"Cheboygan Brewing Company","Cheboygan"," MI"
"123",123,"Center of the Universe Brewing C...","Ashland"," VA"
"124",124,"Ipswich Ale Brewery","Ipswich"," MA"
"125",125,"Griffin Claw Brewing Company","Birmingham"," MI"
"126",126,"Karbach Brewing Company","Houston"," TX"
"127",127,"Uncle Billy's Brewery and Smokeh...","Austin"," TX"
"128",128,"Deep Ellum Brewing Company","Dallas"," TX"
"129",129,"Real Ale Brewing Company","Blanco"," TX"
"130",130,"Straub Brewery","St Mary's"," PA"
"131",131,"Shebeen Brewing Company","Wolcott"," CT"
"132",132,"Stevens Point Brewery","Stevens Point"," WI"
"133",133,"Weston Brewing Company","Weston"," MO"
"134",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS"
"135",135,"Minhas Craft Brewery","Monroe"," WI"
"136",136,"Pug Ryan's Brewery","Dillon"," CO"
"137",137,"Hops & Grains Brewing Company","Austin"," TX"
"138",138,"Sietsema Orchards and Cider Mill","Ada"," MI"
"139",139,"Summit Brewing Company","St Paul"," MN"
"140",140,"Core Brewing & Distilling Company","Springdale"," AR"
"141",141,"Independence Brewing Company","Austin"," TX"
"142",142,"Cigar City Brewing Company","Tampa"," FL"
"143",143,"Third Street Brewhouse","Cold Spring"," MN"
"144",144,"Narragansett Brewing Company","Providence"," RI"
"145",145,"Grimm Brothers Brewhouse","Loveland"," CO"
"146",146,"Cisco Brewers","Nantucket"," MA"
"147",147,"Angry Minnow","Hayward"," WI"
"148",148,"Platform Beer Company","Cleveland"," OH"
"149",149,"Odyssey Beerwerks","Arvada"," CO"
"150",150,"Lonerider Brewing Company","Raleigh"," NC"
"151",151,"Oakshire Brewing","Eugene"," OR"
"152",152,"Fort Pitt Brewing Company","Latrobe"," PA"
"153",153,"Tin Roof Brewing Company","Baton Rouge"," LA"
"154",154,"Three Creeks Brewing","Sisters"," OR"
"155",155,"2 Towns Ciderhouse","Corvallis"," OR"
"156",156,"Caldera Brewing Company","Ashland"," OR"
"157",157,"Greenbrier Valley Brewing Company","Lewisburg"," WV"
"158",158,"Phoenix Ale Brewery","Phoenix"," AZ"
"159",159,"Lumberyard Brewing Company","Flagstaff"," AZ"
"160",160,"Uinta Brewing Company","Salt Lake City"," UT"
"161",161,"Four Peaks Brewing Company","Tempe"," AZ"
"162",162,"Martin House Brewing Company","Fort Worth"," TX"
"163",163,"Right Brain Brewery","Traverse City"," MI"
"164",164,"Sly Fox Brewing Company","Phoenixville"," PA"
"165",165,"Round Guys Brewing","Lansdale"," PA"
"166",166,"Great Crescent Brewery","Aurora"," IN"
"167",167,"Oskar Blues Brewery","Longmont"," CO"
"168",168,"Boxcar Brewing Company","West Chester"," PA"
"169",169,"High Hops Brewery","Windsor"," CO"
"170",170,"Crooked Fence Brewing Company","Garden City"," ID"
"171",171,"Everybody's Brewing","White Salmon"," WA"
"172",172,"Anderson Valley Brewing Company","Boonville"," CA"
"173",173,"Fiddlehead Brewing Company","Shelburne"," VT"
"174",174,"Evil Twin Brewing","Brooklyn"," NY"
"175",175,"New Orleans Lager & Ale Brewing ...","New Orleans"," LA"
"176",176,"Spiteful Brewing Company","Chicago"," IL"
"177",177,"Rahr & Sons Brewing Company","Fort Worth"," TX"
"178",178,"18th Street Brewery","Gary"," IN"
"179",179,"Cambridge Brewing Company","Cambridge"," MA"
"180",180,"Carolina Brewery","Pittsboro"," NC"
"181",181,"Frog Level Brewing Company","Waynesville"," NC"
"182",182,"Wild Wolf Brewing Company","Nellysford"," VA"
"183",183,"COOP Ale Works","Oklahoma City"," OK"
"184",184,"Seventh Son Brewing Company","Columbus"," OH"
"185",185,"Oasis Texas Brewing Company","Austin"," TX"
"186",186,"Vander Mill Ciders","Spring Lake"," MI"
"187",187,"St. Julian Winery","Paw Paw"," MI"
"188",188,"Pedernales Brewing Company","Fredericksburg"," TX"
"189",189,"Mother's Brewing","Springfield"," MO"
"190",190,"Modern Monks Brewery","Lincoln"," NE"
"191",191,"Two Beers Brewing Company","Seattle"," WA"
"192",192,"Snake River Brewing Company","Jackson"," WY"
"193",193,"Capital Brewery","Middleton"," WI"
"194",194,"Anthem Brewing Company","Oklahoma City"," OK"
"195",195,"Goodlife Brewing Co.","Bend"," OR"
"196",196,"Breakside Brewery","Portland"," OR"
"197",197,"Goose Island Brewery Company","Chicago"," IL"
"198",198,"Burnside Brewing Co.","Portland"," OR"
"199",199,"Hop Valley Brewing Company","Springfield"," OR"
"200",200,"Worthy Brewing Company","Bend"," OR"
"201",201,"Occidental Brewing Company","Portland"," OR"
"202",202,"Fearless Brewing Company","Estacada"," OR"
"203",203,"Upland Brewing Company","Bloomington"," IN"
"204",204,"Mehana Brewing Co.","Hilo"," HI"
"205",205,"Hawai'i Nui Brewing Co.","Hilo"," HI"
"206",206,"People's Brewing Company","Lafayette"," IN"
"207",207,"Fort George Brewery","Astoria"," OR"
"208",208,"Branchline Brewing Company","San Antonio"," TX"
"209",209,"Kalona Brewing Company","Kalona"," IA"
"210",210,"Modern Times Beer","San Diego"," CA"
"211",211,"Temperance Beer Company","Evanston"," IL"
"212",212,"Wisconsin Brewing Company","Verona"," WI"
"213",213,"Crow Peak Brewing Company","Spearfish"," SD"
"214",214,"Grapevine Craft Brewery","Farmers Branch"," TX"
"215",215,"Buffalo Bayou Brewing Company","Houston"," TX"
"216",216,"Texian Brewing Co.","Richmond"," TX"
"217",217,"Orpheus Brewing","Atlanta"," GA"
"218",218,"Forgotten Boardwalk","Cherry Hill"," NJ"
"219",219,"Laughing Dog Brewing Company","Ponderay"," ID"
"220",220,"Bozeman Brewing Company","Bozeman"," MT"
"221",221,"Big Choice Brewing","Broomfield"," CO"
"222",222,"Big Storm Brewing Company","Odessa"," FL"
"223",223,"Carton Brewing Company","Atlantic Highlands"," NJ"
"224",224,"Midnight Sun Brewing Company","Anchorage"," AK"
"225",225,"Fat Head's Brewery","Middleburg Heights"," OH"
"226",226,"Refuge Brewery","Temecula"," CA"
"227",227,"Chatham Brewing","Chatham"," NY"
"228",228,"DC Brau Brewing Company","Washington"," DC"
"229",229,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"230",230,"Rochester Mills Brewing Company","Rochester"," MI"
"231",231,"Cape Ann Brewing Company","Gloucester"," MA"
"232",232,"Borderlands Brewing Company","Tucson"," AZ"
"233",233,"College Street Brewhouse and Pub","Lake Havasu City"," AZ"
"234",234,"Joseph James Brewing Company","Henderson"," NV"
"235",235,"Harpoon Brewery","Boston"," MA"
"236",236,"Back East Brewing Company","Bloomfield"," CT"
"237",237,"Champion Brewing Company","Charlottesville"," VA"
"238",238,"Devil's Backbone Brewing Company","Lexington"," VA"
"239",239,"Newburgh Brewing Company","Newburgh"," NY"
"240",240,"Wiseacre Brewing Company","Memphis"," TN"
"241",241,"Golden Road Brewing","Los Angeles"," CA"
"242",242,"New Republic Brewing Company","College Station"," TX"
"243",243,"Infamous Brewing Company","Austin"," TX"
"244",244,"Two Henrys Brewing Company","Plant City"," FL"
"245",245,"Lift Bridge Brewing Company","Stillwater"," MN"
"246",246,"Lucky Town Brewing Company","Jackson"," MS"
"247",247,"Quest Brewing Company","Greenville"," SC"
"248",248,"Creature Comforts","Athens"," GA"
"249",249,"Half Full Brewery","Stamford"," CT"
"250",250,"Southampton Publick House","Southampton"," NY"
"251",251,"Chapman's Brewing","Angola"," IN"
"252",252,"Barrio Brewing Company","Tucson"," AZ"
"253",253,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
"254",254,"Frankenmuth Brewery","Frankenmuth"," MI"
"255",255,"Meckley's Cidery","Somerset Center"," MI"
"256",256,"Stillwater Artisanal Ales","Baltimore"," MD"
"257",257,"Finch's Beer Company","Chicago"," IL"
"258",258,"South Austin Brewery","South Austin"," TX"
"259",259,"Bauhaus Brew Labs","Minneapolis"," MN"
"260",260,"Ozark Beer Company","Rogers"," AR"
"261",261,"Mountain Town Brewing Company ","Mount Pleasant"," MI"
"262",262,"Otter Creek Brewing","Waterbury"," VT"
"263",263,"The Brewer's Art","Baltimore"," MD"
"264",264,"Denver Beer Company","Denver"," CO"
"265",265,"Ska Brewing Company","Durango"," CO"
"266",266,"Tractor Brewing Company","Albuquerque"," NM"
"267",267,"Peak Organic Brewing Company","Portland"," ME"
"268",268,"Cape Cod Beer","Hyannis"," MA"
"269",269,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"270",270,"Great Raft Brewing Company","Shreveport"," LA"
"271",271,"Alaskan Brewing Company","Juneau"," AK"
"272",272,"Notch Brewing Company","Ipswich"," MA"
"273",273,"The Alchemist","Waterbury"," VT"
"274",274,"Three Notch'd Brewing Company","Charlottesville"," VA"
"275",275,"Portside Brewery","Cleveland"," OH"
"276",276,"Otter Creek Brewing","Middlebury"," VT"
"277",277,"Montauk Brewing Company","Montauk"," NY"
"278",278,"Indeed Brewing Company","Minneapolis"," MN"
"279",279,"Berkshire Brewing Company","South Deerfield"," MA"
"280",280,"Foolproof Brewing Company","Pawtucket"," RI"
"281",281,"Headlands Brewing Company","Mill Valley"," CA"
"282",282,"Bolero Snort Brewery","Ridgefield Park"," NJ"
"283",283,"Thunderhead Brewing Company","Kearney"," NE"
"284",284,"Defiance Brewing Company","Hays"," KS"
"285",285,"Milwaukee Brewing Company","Milwaukee"," WI"
"286",286,"Catawba Island Brewing","Port Clinton"," OH"
"287",287,"Back Forty Beer Company","Gadsden"," AL"
"288",288,"Four Corners Brewing Company","Dallas"," TX"
"289",289,"Saint Archer Brewery","San Diego"," CA"
"290",290,"Rogue Ales","Newport"," OR"
"291",291,"Hale's Ales","Seattle"," WA"
"292",292,"Tommyknocker Brewery","Idaho Springs"," CO"
"293",293,"Baxter Brewing Company","Lewiston"," ME"
"294",294,"Northampton Brewery","Northamtpon"," MA"
"295",295,"Black Shirt Brewing Company","Denver"," CO"
"296",296,"Wachusett Brewing Company","Westminster"," MA"
"297",297,"Widmer Brothers Brewing Company","Portland"," OR"
"298",298,"Hop Farm Brewing Company","Pittsburgh"," PA"
"299",299,"Liquid Hero Brewery","York"," PA"
"300",300,"Matt Brewing Company","Utica"," NY"
"301",301,"Boston Beer Company","Boston"," MA"
"302",302,"Old Forge Brewing Company","Danville"," PA"
"303",303,"Utah Brewers Cooperative","Salt Lake City"," UT"
"304",304,"Magic Hat Brewing Company","South Burlington"," VT"
"305",305,"Blue Hills Brewery","Canton"," MA"
"306",306,"Night Shift Brewing","Everett"," MA"
"307",307,"Beach Brewing Company","Virginia Beach"," VA"
"308",308,"Payette Brewing Company","Garden City"," ID"
"309",309,"Brew Bus Brewing","Tampa"," FL"
"310",310,"Sockeye Brewing Company","Boise"," ID"
"311",311,"Pine Street Brewery","San Francisco"," CA"
"312",312,"Dirty Bucket Brewing Company","Woodinville"," WA"
"313",313,"Jackalope Brewing Company","Nashville"," TN"
"314",314,"Slanted Rock Brewing Company","Meridian"," ID"
"315",315,"Piney River Brewing Company","Bucryus"," MO"
"316",316,"Cutters Brewing Company","Avon"," IN"
"317",317,"Iron Hill Brewery & Restaurant","Wilmington"," DE"
"318",318,"Marshall Wharf Brewing Company","Belfast"," ME"
"319",319,"Banner Beer Company","Williamsburg"," MA"
"320",320,"Dick's Brewing Company","Centralia"," WA"
"321",321,"Claremont Craft Ales","Claremont"," CA"
"322",322,"Rivertown Brewing Company","Lockland"," OH"
"323",323,"Voodoo Brewery","Meadville"," PA"
"324",324,"D.L. Geary Brewing Company","Portland"," ME"
"325",325,"Pisgah Brewing Company","Black Mountain"," NC"
"326",326,"Neshaminy Creek Brewing Company","Croydon"," PA"
"327",327,"Morgan Street Brewery","Saint Louis"," MO"
"328",328,"Half Acre Beer Company","Chicago"," IL"
"329",329,"The Just Beer Project","Burlington"," VT"
"330",330,"The Bronx Brewery","Bronx"," NY"
"331",331,"Dead Armadillo Craft Brewing","Tulsa"," OK"
"332",332,"Catawba Brewing Company","Morganton"," NC"
"333",333,"La Cumbre Brewing Company","Albuquerque"," NM"
"334",334,"David's Ale Works","Diamond Springs"," CA"
"335",335,"The Traveler Beer Company","Burlington"," VT"
"336",336,"Fargo Brewing Company","Fargo"," ND"
"337",337,"Big Sky Brewing Company","Missoula"," MT"
"338",338,"Nebraska Brewing Company","Papillion"," NE"
"339",339,"Uncle John's Fruit House Winery","St. John's"," MI"
"340",340,"Wormtown Brewery","Worcester"," MA"
"341",341,"Due South Brewing Company","Boynton Beach"," FL"
"342",342,"Palisade Brewing Company","Palisade"," CO"
"343",343,"KelSo Beer Company","Brooklyn"," NY"
"344",344,"Hardywood Park Craft Brewery","Richmond"," VA"
"345",345,"Wolf Hills Brewing Company","Abingdon"," VA"
"346",346,"Lavery Brewing Company","Erie"," PA"
"347",347,"Manzanita Brewing Company","Santee"," CA"
"348",348,"Fullsteam Brewery","Durham"," NC"
"349",349,"Four Horsemen Brewing Company","South Bend"," IN"
"350",350,"Hinterland Brewery","Green Bay"," WI"
"351",351,"Central Coast Brewing Company","San Luis Obispo"," CA"
"352",352,"Westfield River Brewing Company","Westfield"," MA"
"353",353,"Elevator Brewing Company","Columbus"," OH"
"354",354,"Aslan Brewing Company","Bellingham"," WA"
"355",355,"Kulshan Brewery","Bellingham"," WA"
"356",356,"Pikes Peak Brewing Company","Monument"," CO"
"357",357,"Manayunk Brewing Company","Philadelphia"," PA"
"358",358,"Buckeye Brewing","Cleveland"," OH"
"359",359,"Daredevil Brewing Company","Shelbyville"," IN"
"360",360,"NoDa Brewing Company","Charlotte"," NC"
"361",361,"Aviator Brewing Company","Fuquay-Varina"," NC"
"362",362,"Wild Onion Brewing Company","Lake Barrington"," IL"
"363",363,"Hilliard's Beer","Seattle"," WA"
"364",364,"Mikkeller","Pottstown"," PA"
"365",365,"Bohemian Brewery","Midvale"," UT"
"366",366,"Great River Brewery","Davenport"," IA"
"367",367,"Mustang Brewing Company","Mustang"," OK"
"368",368,"Airways Brewing Company","Kent"," WA"
"369",369,"21st Amendment Brewery","San Francisco"," CA"
"370",370,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
"371",371,"Pizza Port Brewing Company","Carlsbad"," CA"
"372",372,"Sly Fox Brewing Company","Pottstown"," PA"
"373",373,"Spring House Brewing Company","Conestoga"," PA"
"374",374,"7venth Sun","Dunedin"," FL"
"375",375,"Astoria Brewing Company","Astoria"," OR"
"376",376,"Maui Brewing Company","Lahaina"," HI"
"377",377,"RoughTail Brewing Company","Midwest City"," OK"
"378",378,"Lucette Brewing Company","Menominee"," WI"
"379",379,"Bold City Brewery","Jacksonville"," FL"
"380",380,"Grey Sail Brewing of Rhode Island","Westerly"," RI"
"381",381,"Blue Blood Brewing Company","Lincoln"," NE"
"382",382,"Swashbuckler Brewing Company","Manheim"," PA"
"383",383,"Blue Mountain Brewery","Afton"," VA"
"384",384,"Starr Hill Brewery","Crozet"," VA"
"385",385,"Westbrook Brewing Company","Mt. Pleasant"," SC"
"386",386,"Shipyard Brewing Company","Portland"," ME"
"387",387,"Revolution Brewing","Paonia"," CO"
"388",388,"Natian Brewery","Portland"," OR"
"389",389,"Alltech's Lexington Brewing Company","Lexington"," KY"
"390",390,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
"391",391,"Orlison Brewing Company","Airway Heights"," WA"
"392",392,"Breckenridge Brewery","Denver"," CO"
"393",393,"Santa Fe Brewing Company","Santa Fe"," NM"
"394",394,"Miami Brewing Company","Miami"," FL"
"395",395,"Schilling & Company","Seattle"," WA"
"396",396,"Hops & Grain Brewery","Austin"," TX"
"397",397,"White Flame Brewing Company","Hudsonville"," MI"
"398",398,"Ruhstaller Beer Company","Sacramento"," CA"
"399",399,"Saugatuck Brewing Company","Douglas"," MI"
"400",400,"Moab Brewery","Moab"," UT"
"401",401,"Macon Beer Company","Macon"," GA"
"402",402,"Amnesia Brewing Company","Washougal"," WA"
"403",403,"Wolverine State Brewing Company","Ann Arbor"," MI"
"404",404,"Red Tank Cider Company","Bend"," OR"
"405",405,"Cascadia Ciderworks United","Portland"," OR"
"406",406,"Fate Brewing Company","Boulder"," CO"
"407",407,"Lazy Monk Brewing","Eau Claire"," WI"
"408",408,"Bitter Root Brewing","Hamilton"," MT"
"409",409,"10 Barrel Brewing Company","Bend"," OR"
"410",410,"Tamarack Brewing Company","Lakeside"," MT"
"411",411,"New England Brewing Company","Woodbridge"," CT"
"412",412,"Seattle Cider Company","Seattle"," WA"
"413",413,"Straight to Ale","Huntsville"," AL"
"414",414,"Austin Beerworks","Austin"," TX"
"415",415,"Blue Mountain Brewery","Arrington"," VA"
"416",416,"Coastal Empire Beer Company","Savannah"," GA"
"417",417,"Jack's Hard Cider (Hauser Estate...","Biglerville"," PA"
"418",418,"Boulder Beer Company","Boulder"," CO"
"419",419,"Coalition Brewing Company","Portland"," OR"
"420",420,"Sanitas Brewing Company","Boulder"," CO"
"421",421,"Gore Range Brewery","Edwards"," CO"
"422",422,"Redstone Meadery","Boulder"," CO"
"423",423,"Blue Dog Mead","Eugene"," OR"
"424",424,"Hess Brewing Company","San Diego"," CA"
"425",425,"Wynkoop Brewing Company","Denver"," CO"
"426",426,"Ciderboys","Stevens Point"," WI"
"427",427,"Armadillo Ale Works","Denton"," TX"
"428",428,"Roanoke Railhouse Brewery","Roanoke"," VA"
"429",429,"Schlafly Brewing Company","Saint Louis"," MO"
"430",430,"Asher Brewing Company","Boulder"," CO"
"431",431,"Lost Rhino Brewing Company","Ashburn"," VA"
"432",432,"North Country Brewing Company","Slippery Rock"," PA"
"433",433,"Seabright Brewery","Santa Cruz"," CA"
"434",434,"French Broad Brewery","Asheville"," NC"
"435",435,"Angry Orchard Cider Company","Cincinnati"," OH"
"436",436,"Two Roads Brewing Company","Stratford"," CT"
"437",437,"Southern Oregon Brewing Company","Medford"," OR"
"438",438,"Brooklyn Brewery","Brooklyn"," NY"
"439",439,"The Right Brain Brewery","Traverse City"," MI"
"440",440,"Kona Brewing Company","Kona"," HI"
"441",441,"MillKing It Productions","Royal Oak"," MI"
"442",442,"Pateros Creek Brewing Company","Fort Collins"," CO"
"443",443,"O'Fallon Brewery","O'Fallon"," MO"
"444",444,"Marble Brewery","Albuquerque"," NM"
"445",445,"Big Wood Brewery","Vadnais Heights"," MN"
"446",446,"Howard Brewing Company","Lenoir"," NC"
"447",447,"Downeast Cider House","Leominster"," MA"
"448",448,"Swamp Head Brewery","Gainesville"," FL"
"449",449,"Mavericks Beer Company","Half Moon Bay"," CA"
"450",450,"TailGate Beer","San Diego"," CA"
"451",451,"Northwest Brewing Company","Pacific"," WA"
"452",452,"Dad & Dude's Breweria","Aurora"," CO"
"453",453,"Centennial Beer Company","Edwards"," CO"
"454",454,"Denali Brewing Company","Talkeetna"," AK"
"455",455,"Deschutes Brewery","Bend"," OR"
"456",456,"Sunken City Brewing Company","Hardy"," VA"
"457",457,"Lucette Brewing Company","Menominie"," WI"
"458",458,"The Black Tooth Brewing Company","Sheridan"," WY"
"459",459,"Kenai River Brewing Company","Soldotna"," AK"
"460",460,"River North Brewery","Denver"," CO"
"461",461,"Fremont Brewing Company","Seattle"," WA"
"462",462,"Armstrong Brewing Company","South San Francisco"," CA"
"463",463,"AC Golden Brewing Company","Golden"," CO"
"464",464,"Big Bend Brewing Company","Alpine"," TX"
"465",465,"Good Life Brewing Company","Bend"," OR"
"466",466,"Engine 15 Brewing","Jacksonville Beach"," FL"
"467",467,"Green Room Brewing","Jacksonville"," FL"
"468",468,"Brindle Dog Brewing Company","Tampa Bay"," FL"
"469",469,"Peace Tree Brewing Company","Knoxville"," IA"
"470",470,"Terrapin Brewing Company","Athens"," GA"
"471",471,"Pete's Brewing Company","San Antonio"," TX"
"472",472,"Okoboji Brewing Company","Spirit Lake"," IA"
"473",473,"Crystal Springs Brewing Company","Boulder"," CO"
"474",474,"Engine House 9","Tacoma"," WA"
"475",475,"Tonka Beer Company","Minnetonka"," MN"
"476",476,"Red Hare Brewing Company","Marietta"," GA"
"477",477,"Hangar 24 Craft Brewery","Redlands"," CA"
"478",478,"Big Elm Brewing","Sheffield"," MA"
"479",479,"Good People Brewing Company","Birmingham"," AL"
"480",480,"Heavy Seas Beer","Halethorpe"," MD"
"481",481,"Telluride Brewing Company","Telluride"," CO"
"482",482,"7 Seas Brewing Company","Gig Harbor"," WA"
"483",483,"Confluence Brewing Company","Des Moines"," IA"
"484",484,"Bale Breaker Brewing Company","Yakima"," WA"
"485",485,"The Manhattan Brewing Company","New York"," NY"
"486",486,"MacTarnahans Brewing Company","Portland"," OR"
"487",487,"Stillmank Beer Company","Green Bay"," WI"
"488",488,"Redhook Brewery","Woodinville"," WA"
"489",489,"Dock Street Brewery","Philadelphia"," PA"
"490",490,"Blue Point Brewing Company","Patchogue"," NY"
"491",491,"Tampa Bay Brewing Company","Tampa"," FL"
"492",492,"Devil's Canyon Brewery","Belmont"," CA"
"493",493,"Stone Coast Brewing Company","Portland"," ME"
